Report Date:,28/09/2017 16:18:43
Report User Name:,gvw
Report Computer Name:,DZ0044
Application:,WinSitu.exe
Application Version:,5.6.25.0


Log File Properties
File Name,RN24762_Append_2017-09-27_09-43-49-384.wsl
Create Date,27/09/2017 09:43:49

Device Properties
Device,Level TROLL 300
Site,RN24762  at round about
Device Name,RN011819_T_300_use_B_T_SN_177035
Serial Number,177117
Firmware Version,2.05
Hardware Version,3
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,28

Log Configuration
,Log Name,RN24762
,Created By,gvw
,Computer Name,DZ0044
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Create Date,20/04/2016 11:33:47 AUS Central Standard Time
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,20/04/2016 12:00:00 AUS Central Standard Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,          Level Reference Mode:,Set first logged value to offset
,        Level Reference Offset:,5.59 (m)


Other Log Settings
,Depth of Probe:,10.3109 (m)
,Head Pressure:,1030.06 (cmH2O)
,Temperature:,34.4233 (C)



Log Data:
Record Count,12598

Sensors,1

 ,1,177117,Pressure/Temp 30 PSIA (10.9m/35.8ft)

Time Zone: AUS Central Standard Time

,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,
,SN#: 177117                   ,SN#: 177117                   ,SN#: 177117                   ,
Date and Time,Pressure (cmH2O)              ,Temperature (C)               ,Level Depth To Water (m)      ,
23/04/2016 06:00:00    ,                      1733.473,                        29.863,                         5.640,
23/04/2016 07:00:00    ,                      1733.742,                        29.861,                         5.638,
23/04/2016 08:00:00    ,                      1733.976,                        29.860,                         5.635,
23/04/2016 09:00:00    ,                      1733.976,                        29.861,                         5.635,
23/04/2016 10:00:00    ,                      1733.823,                        29.862,                         5.637,
23/04/2016 11:00:00    ,                      1733.473,                        29.861,                         5.640,
23/04/2016 12:00:00    ,                      1732.961,                        29.862,                         5.646,
23/04/2016 13:00:00    ,                      1732.385,                        29.863,                         5.651,
23/04/2016 14:00:00    ,                      1731.886,                        29.859,                         5.656,
23/04/2016 15:00:00    ,                      1731.347,                        29.861,                         5.662,
23/04/2016 16:00:00    ,                      1731.182,                        29.864,                         5.663,
23/04/2016 17:00:00    ,                      1731.331,                        29.860,                         5.662,
23/04/2016 18:00:00    ,                      1731.697,                        29.861,                         5.658,
23/04/2016 19:00:00    ,                      1731.862,                        29.861,                         5.657,
23/04/2016 20:00:00    ,                      1731.979,                        29.863,                         5.655,
23/04/2016 21:00:00    ,                      1732.317,                        29.861,                         5.652,
23/04/2016 22:00:00    ,                      1732.261,                        29.862,                         5.653,
23/04/2016 23:00:00    ,                      1732.087,                        29.865,                         5.654,
24/04/2016 00:00:00    ,                      1732.293,                        29.862,                         5.652,
24/04/2016 01:00:00    ,                      1731.818,                        29.863,                         5.657,
24/04/2016 02:00:00    ,                      1731.468,                        29.862,                         5.660,
24/04/2016 03:00:00    ,                      1731.174,                        29.861,                         5.663,
24/04/2016 04:00:00    ,                      1731.270,                        29.862,                         5.662,
24/04/2016 05:00:00    ,                      1731.420,                        29.862,                         5.661,
24/04/2016 06:00:00    ,                      1731.701,                        29.861,                         5.658,
