Report Date:,28/09/2017 16:18:43
Report User Name:,gvw
Report Computer Name:,DZ0044
Application:,WinSitu.exe
Application Version:,5.6.25.0


Log File Properties
File Name,RN24762_Append_2017-09-27_09-43-49-384.wsl
Create Date,27/09/2017 09:43:49

Device Properties
Device,Level TROLL 300
Site,RN24762  at round about
Device Name,RN011819_T_300_use_B_T_SN_177035
Serial Number,177117
Firmware Version,2.05
Hardware Version,3
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,28

Log Configuration
,Log Name,RN24762
,Created By,gvw
,Computer Name,DZ0044
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Create Date,20/04/2016 11:33:47 AUS Central Standard Time
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,20/04/2016 12:00:00 AUS Central Standard Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,          Level Reference Mode:,Set first logged value to offset
,        Level Reference Offset:,5.59 (m)


Other Log Settings
,Depth of Probe:,10.3109 (m)
,Head Pressure:,1030.06 (cmH2O)
,Temperature:,34.4233 (C)



Log Data:
Record Count,12598

Sensors,1

 ,1,177117,Pressure/Temp 30 PSIA (10.9m/35.8ft)

Time Zone: AUS Central Standard Time

,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,
,SN#: 177117                   ,SN#: 177117                   ,SN#: 177117                   ,
Date and Time,Pressure (cmH2O)              ,Temperature (C)               ,Level Depth To Water (m)      ,
31/07/2016 16:00:00    ,                      1615.960,                        29.940,                         6.817,
31/07/2016 17:00:00    ,                      1615.965,                        29.938,                         6.817,
31/07/2016 18:00:00    ,                      1615.997,                        29.940,                         6.816,
31/07/2016 19:00:00    ,                      1616.017,                        29.942,                         6.816,
31/07/2016 20:00:00    ,                      1615.744,                        29.941,                         6.819,
31/07/2016 21:00:00    ,                      1616.235,                        29.940,                         6.814,
31/07/2016 22:00:00    ,                      1615.896,                        29.942,                         6.817,
31/07/2016 23:00:00    ,                      1615.860,                        29.940,                         6.818,
01/08/2016 00:00:00    ,                      1616.146,                        29.941,                         6.815,
01/08/2016 01:00:00    ,                      1615.864,                        29.942,                         6.818,
01/08/2016 02:00:00    ,                      1615.526,                        29.940,                         6.821,
01/08/2016 03:00:00    ,                      1615.304,                        29.943,                         6.823,
01/08/2016 04:00:00    ,                      1615.618,                        29.940,                         6.820,
01/08/2016 05:00:00    ,                      1615.771,                        29.941,                         6.819,
01/08/2016 06:00:00    ,                      1615.820,                        29.941,                         6.818,
01/08/2016 07:00:00    ,                      1616.049,                        29.943,                         6.816,
01/08/2016 08:00:00    ,                      1616.029,                        29.941,                         6.816,
01/08/2016 09:00:00    ,                      1616.391,                        29.940,                         6.812,
01/08/2016 10:00:00    ,                      1616.230,                        29.941,                         6.814,
01/08/2016 11:00:00    ,                      1615.820,                        29.940,                         6.818,
01/08/2016 12:00:00    ,                      1615.155,                        29.941,                         6.825,
01/08/2016 13:00:00    ,                      1615.159,                        29.940,                         6.825,
01/08/2016 14:00:00    ,                      1614.752,                        29.939,                         6.829,
01/08/2016 15:00:00    ,                      1614.390,                        29.942,                         6.832,
01/08/2016 16:00:00    ,                      1614.237,                        29.941,                         6.834,
01/08/2016 17:00:00    ,                      1614.293,                        29.942,                         6.833,
01/08/2016 18:00:00    ,                      1613.972,                        29.940,                         6.837,
01/08/2016 19:00:00    ,                      1614.273,                        29.939,                         6.834,
01/08/2016 20:00:00    ,                      1614.153,                        29.940,                         6.835,
01/08/2016 21:00:00    ,                      1614.555,                        29.939,                         6.831,
01/08/2016 22:00:00    ,                      1614.458,                        29.941,                         6.832,
01/08/2016 23:00:00    ,                      1614.318,                        29.942,                         6.833,
02/08/2016 00:00:00    ,                      1614.253,                        29.941,                         6.834,
02/08/2016 01:00:00    ,                      1614.354,                        29.939,                         6.833,
02/08/2016 02:00:00    ,                      1613.741,                        29.943,                         6.839,
02/08/2016 03:00:00    ,                      1613.866,                        29.942,                         6.838,
02/08/2016 04:00:00    ,                      1613.895,                        29.940,                         6.837,
02/08/2016 05:00:00    ,                      1613.955,                        29.940,                         6.837,
02/08/2016 06:00:00    ,                      1614.201,                        29.943,                         6.834,
02/08/2016 07:00:00    ,                      1614.289,                        29.940,                         6.833,
02/08/2016 08:00:00    ,                      1614.624,                        29.940,                         6.830,
02/08/2016 09:00:00    ,                      1614.668,                        29.941,                         6.830,
02/08/2016 10:00:00    ,                      1614.628,                        29.941,                         6.830,
02/08/2016 11:00:00    ,                      1614.285,                        29.942,                         6.833,
02/08/2016 12:00:00    ,                      1613.713,                        29.941,                         6.839,
02/08/2016 13:00:00    ,                      1613.222,                        29.940,                         6.844,
02/08/2016 14:00:00    ,                      1612.860,                        29.942,                         6.848,
02/08/2016 15:00:00    ,                      1612.404,                        29.939,                         6.852,
02/08/2016 16:00:00    ,                      1612.183,                        29.944,                         6.855,
02/08/2016 17:00:00    ,                      1612.292,                        29.941,                         6.853,
02/08/2016 18:00:00    ,                      1612.305,                        29.941,                         6.853,
02/08/2016 19:00:00    ,                      1612.735,                        29.942,                         6.849,
02/08/2016 20:00:00    ,                      1612.860,                        29.943,                         6.848,
02/08/2016 21:00:00    ,                      1612.803,                        29.942,                         6.848,
02/08/2016 22:00:00    ,                      1612.739,                        29.942,                         6.849,
02/08/2016 23:00:00    ,                      1612.804,                        29.945,                         6.848,
03/08/2016 00:00:00    ,                      1613.045,                        29.943,                         6.846,
03/08/2016 01:00:00    ,                      1612.876,                        29.942,                         6.848,
03/08/2016 02:00:00    ,                      1612.896,                        29.943,                         6.847,
03/08/2016 03:00:00    ,                      1612.844,                        29.941,                         6.848,
03/08/2016 04:00:00    ,                      1612.892,                        29.945,                         6.847,
03/08/2016 05:00:00    ,                      1613.009,                        29.942,                         6.846,
03/08/2016 06:00:00    ,                      1613.411,                        29.942,                         6.842,
03/08/2016 07:00:00    ,                      1613.685,                        29.942,                         6.839,
03/08/2016 08:00:00    ,                      1613.971,                        29.942,                         6.837,
03/08/2016 09:00:00    ,                      1614.156,                        29.944,                         6.835,
03/08/2016 10:00:00    ,                      1613.915,                        29.943,                         6.837,
03/08/2016 11:00:00    ,                      1613.939,                        29.944,                         6.837,
03/08/2016 12:00:00    ,                      1613.359,                        29.941,                         6.843,
03/08/2016 13:00:00    ,                      1612.909,                        29.943,                         6.847,
03/08/2016 14:00:00    ,                      1612.377,                        29.943,                         6.853,
03/08/2016 15:00:00    ,                      1612.272,                        29.942,                         6.854,
03/08/2016 16:00:00    ,                      1612.698,                        29.943,                         6.849,
03/08/2016 17:00:00    ,                      1612.759,                        29.943,                         6.849,
03/08/2016 18:00:00    ,                      1612.989,                        29.942,                         6.846,
03/08/2016 19:00:00    ,                      1613.161,                        29.942,                         6.845,
03/08/2016 20:00:00    ,                      1613.323,                        29.944,                         6.843,
03/08/2016 21:00:00    ,                      1613.488,                        29.943,                         6.841,
03/08/2016 22:00:00    ,                      1613.818,                        29.942,                         6.838,
03/08/2016 23:00:00    ,                      1613.649,                        29.943,                         6.840,
04/08/2016 00:00:00    ,                      1613.403,                        29.942,                         6.842,
04/08/2016 01:00:00    ,                      1613.383,                        29.943,                         6.843,
04/08/2016 02:00:00    ,                      1613.157,                        29.945,                         6.845,
04/08/2016 03:00:00    ,                      1613.097,                        29.944,                         6.845,
04/08/2016 04:00:00    ,                      1612.989,                        29.944,                         6.846,
04/08/2016 05:00:00    ,                      1613.061,                        29.942,                         6.846,
04/08/2016 06:00:00    ,                      1613.222,                        29.942,                         6.844,
04/08/2016 07:00:00    ,                      1613.560,                        29.941,                         6.841,
04/08/2016 08:00:00    ,                      1613.850,                        29.944,                         6.838,
04/08/2016 09:00:00    ,                      1613.915,                        29.942,                         6.837,
04/08/2016 10:00:00    ,                      1613.886,                        29.946,                         6.837,
04/08/2016 11:00:00    ,                      1613.496,                        29.941,                         6.841,
04/08/2016 12:00:00    ,                      1613.121,                        29.943,                         6.845,
04/08/2016 13:00:00    ,                      1612.678,                        29.940,                         6.850,
04/08/2016 14:00:00    ,                      1612.147,                        29.943,                         6.855,
04/08/2016 15:00:00    ,                      1611.978,                        29.942,                         6.857,
04/08/2016 16:00:00    ,                      1611.796,                        29.943,                         6.858,
04/08/2016 17:00:00    ,                      1611.784,                        29.943,                         6.859,
04/08/2016 18:00:00    ,                      1611.982,                        29.943,                         6.857,
04/08/2016 19:00:00    ,                      1612.292,                        29.944,                         6.853,
04/08/2016 20:00:00    ,                      1612.755,                        29.942,                         6.849,
04/08/2016 21:00:00    ,                      1612.952,                        29.945,                         6.847,
04/08/2016 22:00:00    ,                      1612.868,                        29.943,                         6.848,
04/08/2016 23:00:00    ,                      1612.775,                        29.944,                         6.849,
05/08/2016 00:00:00    ,                      1612.807,                        29.944,                         6.848,
05/08/2016 01:00:00    ,                      1612.759,                        29.945,                         6.849,
05/08/2016 02:00:00    ,                      1612.582,                        29.945,                         6.851,
05/08/2016 03:00:00    ,                      1612.469,                        29.944,                         6.852,
05/08/2016 04:00:00    ,                      1612.481,                        29.946,                         6.852,
05/08/2016 05:00:00    ,                      1612.546,                        29.943,                         6.851,
05/08/2016 06:00:00    ,                      1612.795,                        29.942,                         6.848,
05/08/2016 07:00:00    ,                      1612.976,                        29.945,                         6.847,
05/08/2016 08:00:00    ,                      1613.182,                        29.944,                         6.845,
05/08/2016 09:00:00    ,                      1613.259,                        29.945,                         6.844,
05/08/2016 10:00:00    ,                      1613.516,                        29.942,                         6.841,
05/08/2016 11:00:00    ,                      1613.178,                        29.944,                         6.845,
05/08/2016 12:00:00    ,                      1612.747,                        29.945,                         6.849,
05/08/2016 13:00:00    ,                      1612.195,                        29.944,                         6.854,
05/08/2016 14:00:00    ,                      1611.274,                        29.944,                         6.864,
05/08/2016 15:00:00    ,                      1611.023,                        29.943,                         6.866,
05/08/2016 16:00:00    ,                      1610.882,                        29.945,                         6.868,
05/08/2016 17:00:00    ,                      1610.926,                        29.943,                         6.867,
05/08/2016 18:00:00    ,                      1611.184,                        29.944,                         6.865,
05/08/2016 19:00:00    ,                      1611.390,                        29.945,                         6.862,
05/08/2016 20:00:00    ,                      1611.684,                        29.942,                         6.860,
05/08/2016 21:00:00    ,                      1611.824,                        29.946,                         6.858,
05/08/2016 22:00:00    ,                      1611.824,                        29.946,                         6.858,
05/08/2016 23:00:00    ,                      1611.720,                        29.944,                         6.859,
06/08/2016 00:00:00    ,                      1611.684,                        29.946,                         6.860,
06/08/2016 01:00:00    ,                      1611.619,                        29.943,                         6.860,
06/08/2016 02:00:00    ,                      1611.627,                        29.945,                         6.860,
06/08/2016 03:00:00    ,                      1611.526,                        29.946,                         6.861,
06/08/2016 04:00:00    ,                      1611.506,                        29.947,                         6.861,
06/08/2016 05:00:00    ,                      1611.422,                        29.944,                         6.862,
06/08/2016 06:00:00    ,                      1611.583,                        29.946,                         6.861,
06/08/2016 07:00:00    ,                      1611.820,                        29.945,                         6.858,
06/08/2016 08:00:00    ,                      1612.163,                        29.946,                         6.855,
06/08/2016 09:00:00    ,                      1612.420,                        29.943,                         6.852,
06/08/2016 10:00:00    ,                      1612.176,                        29.946,                         6.855,
06/08/2016 11:00:00    ,                      1612.163,                        29.945,                         6.855,
06/08/2016 12:00:00    ,                      1611.619,                        29.944,                         6.860,
06/08/2016 13:00:00    ,                      1611.083,                        29.945,                         6.866,
06/08/2016 14:00:00    ,                      1610.403,                        29.943,                         6.872,
06/08/2016 15:00:00    ,                      1610.004,                        29.947,                         6.876,
06/08/2016 16:00:00    ,                      1609.771,                        29.944,                         6.879,
06/08/2016 17:00:00    ,                      1609.734,                        29.943,                         6.879,
06/08/2016 18:00:00    ,                      1609.988,                        29.947,                         6.876,
06/08/2016 19:00:00    ,                      1610.157,                        29.946,                         6.875,
06/08/2016 20:00:00    ,                      1610.491,                        29.947,                         6.871,
06/08/2016 21:00:00    ,                      1610.532,                        29.947,                         6.871,
06/08/2016 22:00:00    ,                      1610.347,                        29.948,                         6.873,
06/08/2016 23:00:00    ,                      1610.616,                        29.947,                         6.870,
07/08/2016 00:00:00    ,                      1610.368,                        29.946,                         6.873,
07/08/2016 01:00:00    ,                      1610.431,                        29.946,                         6.872,
07/08/2016 02:00:00    ,                      1610.379,                        29.945,                         6.873,
07/08/2016 03:00:00    ,                      1610.302,                        29.946,                         6.873,
07/08/2016 04:00:00    ,                      1610.089,                        29.947,                         6.875,
07/08/2016 05:00:00    ,                      1610.105,                        29.945,                         6.875,
07/08/2016 06:00:00    ,                      1610.250,                        29.945,                         6.874,
07/08/2016 07:00:00    ,                      1610.705,                        29.946,                         6.869,
07/08/2016 08:00:00    ,                      1610.898,                        29.947,                         6.867,
07/08/2016 09:00:00    ,                      1610.766,                        29.947,                         6.869,
07/08/2016 10:00:00    ,                      1611.164,                        29.946,                         6.865,
07/08/2016 11:00:00    ,                      1610.818,                        29.947,                         6.868,
07/08/2016 12:00:00    ,                      1610.391,                        29.945,                         6.872,
07/08/2016 13:00:00    ,                      1609.887,                        29.948,                         6.878,
07/08/2016 14:00:00    ,                      1609.332,                        29.948,                         6.883,
07/08/2016 15:00:00    ,                      1608.873,                        29.946,                         6.888,
07/08/2016 16:00:00    ,                      1608.514,                        29.945,                         6.891,
07/08/2016 17:00:00    ,                      1608.474,                        29.944,                         6.892,
07/08/2016 18:00:00    ,                      1608.500,                        29.944,                         6.891,
07/08/2016 19:00:00    ,                      1608.806,                        29.945,                         6.888,
07/08/2016 20:00:00    ,                      1609.670,                        29.944,                         6.880,
07/08/2016 21:00:00    ,                      1609.831,                        29.946,                         6.878,
07/08/2016 22:00:00    ,                      1609.787,                        29.947,                         6.879,
07/08/2016 23:00:00    ,                      1609.807,                        29.947,                         6.878,
08/08/2016 00:00:00    ,                      1609.754,                        29.944,                         6.879,
08/08/2016 01:00:00    ,                      1609.662,                        29.945,                         6.880,
08/08/2016 02:00:00    ,                      1609.412,                        29.947,                         6.882,
08/08/2016 03:00:00    ,                      1609.332,                        29.945,                         6.883,
08/08/2016 04:00:00    ,                      1609.251,                        29.949,                         6.884,
08/08/2016 05:00:00    ,                      1609.420,                        29.946,                         6.882,
08/08/2016 06:00:00    ,                      1609.662,                        29.946,                         6.880,
08/08/2016 07:00:00    ,                      1609.895,                        29.947,                         6.877,
08/08/2016 08:00:00    ,                      1610.060,                        29.946,                         6.876,
08/08/2016 09:00:00    ,                      1610.181,                        29.949,                         6.875,
08/08/2016 10:00:00    ,                      1610.125,                        29.947,                         6.875,
08/08/2016 11:00:00    ,                      1610.141,                        29.948,                         6.875,
08/08/2016 12:00:00    ,                      1609.573,                        29.948,                         6.881,
08/08/2016 13:00:00    ,                      1609.118,                        29.947,                         6.885,
08/08/2016 14:00:00    ,                      1608.405,                        29.946,                         6.892,
08/08/2016 15:00:00    ,                      1608.099,                        29.946,                         6.895,
08/08/2016 16:00:00    ,                      1607.994,                        29.948,                         6.896,
08/08/2016 17:00:00    ,                      1607.934,                        29.947,                         6.897,
08/08/2016 18:00:00    ,                      1607.938,                        29.945,                         6.897,
08/08/2016 19:00:00    ,                      1608.119,                        29.945,                         6.895,
08/08/2016 20:00:00    ,                      1608.260,                        29.950,                         6.894,
08/08/2016 21:00:00    ,                      1608.486,                        29.948,                         6.892,
08/08/2016 22:00:00    ,                      1608.905,                        29.948,                         6.887,
08/08/2016 23:00:00    ,                      1608.844,                        29.948,                         6.888,
09/08/2016 00:00:00    ,                      1608.623,                        29.947,                         6.890,
09/08/2016 01:00:00    ,                      1608.373,                        29.946,                         6.893,
09/08/2016 02:00:00    ,                      1608.248,                        29.949,                         6.894,
09/08/2016 03:00:00    ,                      1608.079,                        29.946,                         6.896,
09/08/2016 04:00:00    ,                      1608.011,                        29.947,                         6.896,
09/08/2016 05:00:00    ,                      1608.035,                        29.947,                         6.896,
09/08/2016 06:00:00    ,                      1608.385,                        29.947,                         6.893,
09/08/2016 07:00:00    ,                      1608.603,                        29.949,                         6.890,
09/08/2016 08:00:00    ,                      1608.868,                        29.948,                         6.888,
09/08/2016 09:00:00    ,                      1609.102,                        29.949,                         6.885,
09/08/2016 10:00:00    ,                      1609.146,                        29.946,                         6.885,
09/08/2016 11:00:00    ,                      1608.744,                        29.948,                         6.889,
09/08/2016 12:00:00    ,                      1608.192,                        29.948,                         6.894,
09/08/2016 13:00:00    ,                      1607.628,                        29.950,                         6.900,
09/08/2016 14:00:00    ,                      1607.161,                        29.947,                         6.905,
09/08/2016 15:00:00    ,                      1606.766,                        29.946,                         6.909,
09/08/2016 16:00:00    ,                      1606.492,                        29.947,                         6.911,
09/08/2016 17:00:00    ,                      1606.158,                        29.946,                         6.915,
09/08/2016 18:00:00    ,                      1606.007,                        29.949,                         6.916,
09/08/2016 19:00:00    ,                      1606.577,                        29.946,                         6.911,
09/08/2016 20:00:00    ,                      1606.746,                        29.947,                         6.909,
09/08/2016 21:00:00    ,                      1606.927,                        29.948,                         6.907,
09/08/2016 22:00:00    ,                      1607.004,                        29.950,                         6.906,
09/08/2016 23:00:00    ,                      1607.153,                        29.947,                         6.905,
10/08/2016 00:00:00    ,                      1607.016,                        29.945,                         6.906,
10/08/2016 01:00:00    ,                      1607.116,                        29.946,                         6.905,
10/08/2016 02:00:00    ,                      1606.967,                        29.949,                         6.907,
10/08/2016 03:00:00    ,                      1606.927,                        29.947,                         6.907,
10/08/2016 04:00:00    ,                      1606.871,                        29.948,                         6.908,
10/08/2016 05:00:00    ,                      1606.843,                        29.949,                         6.908,
10/08/2016 06:00:00    ,                      1606.939,                        29.949,                         6.907,
10/08/2016 07:00:00    ,                      1607.205,                        29.948,                         6.904,
10/08/2016 08:00:00    ,                      1607.422,                        29.950,                         6.902,
10/08/2016 09:00:00    ,                      1607.708,                        29.949,                         6.899,
10/08/2016 10:00:00    ,                      1607.592,                        29.949,                         6.900,
10/08/2016 11:00:00    ,                      1607.455,                        29.948,                         6.902,
10/08/2016 12:00:00    ,                      1606.867,                        29.949,                         6.908,
10/08/2016 13:00:00    ,                      1606.420,                        29.947,                         6.912,
10/08/2016 14:00:00    ,                      1605.727,                        29.949,                         6.919,
10/08/2016 15:00:00    ,                      1605.417,                        29.946,                         6.922,
10/08/2016 16:00:00    ,                      1605.228,                        29.946,                         6.924,
10/08/2016 17:00:00    ,                      1605.111,                        29.948,                         6.925,
10/08/2016 18:00:00    ,                      1605.187,                        29.946,                         6.925,
10/08/2016 19:00:00    ,                      1605.663,                        29.950,                         6.920,
10/08/2016 20:00:00    ,                      1605.888,                        29.950,                         6.918,
10/08/2016 21:00:00    ,                      1606.122,                        29.948,                         6.915,
10/08/2016 22:00:00    ,                      1606.243,                        29.948,                         6.914,
10/08/2016 23:00:00    ,                      1606.428,                        29.950,                         6.912,
11/08/2016 00:00:00    ,                      1606.549,                        29.949,                         6.911,
11/08/2016 01:00:00    ,                      1606.541,                        29.948,                         6.911,
11/08/2016 02:00:00    ,                      1606.488,                        29.949,                         6.912,
11/08/2016 03:00:00    ,                      1606.424,                        29.947,                         6.912,
11/08/2016 04:00:00    ,                      1606.166,                        29.945,                         6.915,
11/08/2016 05:00:00    ,                      1606.235,                        29.946,                         6.914,
11/08/2016 06:00:00    ,                      1606.174,                        29.948,                         6.915,
11/08/2016 07:00:00    ,                      1606.456,                        29.945,                         6.912,
11/08/2016 08:00:00    ,                      1606.549,                        29.949,                         6.911,
11/08/2016 09:00:00    ,                      1606.633,                        29.948,                         6.910,
11/08/2016 10:00:00    ,                      1606.653,                        29.948,                         6.910,
11/08/2016 11:00:00    ,                      1606.274,                        29.947,                         6.914,
11/08/2016 12:00:00    ,                      1605.828,                        29.948,                         6.918,
11/08/2016 13:00:00    ,                      1605.276,                        29.946,                         6.924,
11/08/2016 14:00:00    ,                      1604.837,                        29.949,                         6.928,
11/08/2016 15:00:00    ,                      1604.221,                        29.946,                         6.934,
11/08/2016 16:00:00    ,                      1603.955,                        29.948,                         6.937,
11/08/2016 17:00:00    ,                      1603.863,                        29.947,                         6.938,
11/08/2016 18:00:00    ,                      1603.919,                        29.950,                         6.937,
11/08/2016 19:00:00    ,                      1604.032,                        29.946,                         6.936,
11/08/2016 20:00:00    ,                      1604.463,                        29.952,                         6.932,
11/08/2016 21:00:00    ,                      1604.688,                        29.949,                         6.930,
11/08/2016 22:00:00    ,                      1604.569,                        29.949,                         6.931,
11/08/2016 23:00:00    ,                      1605.219,                        29.948,                         6.924,
12/08/2016 00:00:00    ,                      1605.244,                        29.949,                         6.924,
12/08/2016 01:00:00    ,                      1605.280,                        29.948,                         6.924,
12/08/2016 02:00:00    ,                      1605.143,                        29.950,                         6.925,
12/08/2016 03:00:00    ,                      1604.946,                        29.947,                         6.927,
12/08/2016 04:00:00    ,                      1604.881,                        29.948,                         6.928,
12/08/2016 05:00:00    ,                      1604.833,                        29.947,                         6.928,
12/08/2016 06:00:00    ,                      1604.817,                        29.949,                         6.928,
12/08/2016 07:00:00    ,                      1605.123,                        29.948,                         6.925,
12/08/2016 08:00:00    ,                      1605.546,                        29.953,                         6.921,
12/08/2016 09:00:00    ,                      1605.509,                        29.948,                         6.921,
12/08/2016 10:00:00    ,                      1605.477,                        29.951,                         6.922,
12/08/2016 11:00:00    ,                      1605.268,                        29.949,                         6.924,
12/08/2016 12:00:00    ,                      1604.748,                        29.948,                         6.929,
12/08/2016 13:00:00    ,                      1604.181,                        29.948,                         6.935,
12/08/2016 14:00:00    ,                      1603.761,                        29.948,                         6.939,
12/08/2016 15:00:00    ,                      1603.254,                        29.948,                         6.944,
12/08/2016 16:00:00    ,                      1602.948,                        29.949,                         6.947,
12/08/2016 17:00:00    ,                      1602.992,                        29.950,                         6.947,
12/08/2016 18:00:00    ,                      1602.912,                        29.950,                         6.947,
12/08/2016 19:00:00    ,                      1603.041,                        29.952,                         6.946,
12/08/2016 20:00:00    ,                      1603.363,                        29.951,                         6.943,
12/08/2016 21:00:00    ,                      1603.484,                        29.949,                         6.942,
12/08/2016 22:00:00    ,                      1603.745,                        29.950,                         6.939,
12/08/2016 23:00:00    ,                      1603.770,                        29.949,                         6.939,
13/08/2016 00:00:00    ,                      1603.782,                        29.949,                         6.939,
13/08/2016 01:00:00    ,                      1603.834,                        29.952,                         6.938,
13/08/2016 02:00:00    ,                      1603.749,                        29.950,                         6.939,
13/08/2016 03:00:00    ,                      1603.468,                        29.948,                         6.942,
13/08/2016 04:00:00    ,                      1603.516,                        29.949,                         6.941,
13/08/2016 05:00:00    ,                      1603.516,                        29.949,                         6.941,
13/08/2016 06:00:00    ,                      1603.472,                        29.949,                         6.942,
13/08/2016 07:00:00    ,                      1603.822,                        29.951,                         6.938,
13/08/2016 08:00:00    ,                      1603.822,                        29.952,                         6.938,
13/08/2016 09:00:00    ,                      1604.100,                        29.949,                         6.935,
13/08/2016 10:00:00    ,                      1603.874,                        29.949,                         6.938,
13/08/2016 11:00:00    ,                      1603.645,                        29.951,                         6.940,
13/08/2016 12:00:00    ,                      1603.298,                        29.948,                         6.943,
13/08/2016 13:00:00    ,                      1602.634,                        29.950,                         6.950,
13/08/2016 14:00:00    ,                      1602.340,                        29.948,                         6.953,
13/08/2016 15:00:00    ,                      1601.772,                        29.950,                         6.959,
13/08/2016 16:00:00    ,                      1601.349,                        29.948,                         6.963,
13/08/2016 17:00:00    ,                      1601.385,                        29.948,                         6.963,
13/08/2016 18:00:00    ,                      1601.380,                        29.949,                         6.963,
13/08/2016 19:00:00    ,                      1601.748,                        29.951,                         6.959,
13/08/2016 20:00:00    ,                      1601.885,                        29.953,                         6.958,
13/08/2016 21:00:00    ,                      1602.203,                        29.950,                         6.954,
13/08/2016 22:00:00    ,                      1602.328,                        29.949,                         6.953,
13/08/2016 23:00:00    ,                      1602.364,                        29.950,                         6.953,
14/08/2016 00:00:00    ,                      1602.445,                        29.950,                         6.952,
14/08/2016 01:00:00    ,                      1602.332,                        29.948,                         6.953,
14/08/2016 02:00:00    ,                      1602.187,                        29.950,                         6.955,
14/08/2016 03:00:00    ,                      1601.961,                        29.951,                         6.957,
14/08/2016 04:00:00    ,                      1602.018,                        29.949,                         6.956,
14/08/2016 05:00:00    ,                      1602.026,                        29.951,                         6.956,
14/08/2016 06:00:00    ,                      1602.163,                        29.949,                         6.955,
14/08/2016 07:00:00    ,                      1602.533,                        29.951,                         6.951,
14/08/2016 08:00:00    ,                      1602.687,                        29.951,                         6.950,
14/08/2016 09:00:00    ,                      1602.618,                        29.949,                         6.950,
14/08/2016 10:00:00    ,                      1602.864,                        29.950,                         6.948,
14/08/2016 11:00:00    ,                      1602.433,                        29.952,                         6.952,
14/08/2016 12:00:00    ,                      1602.135,                        29.950,                         6.955,
14/08/2016 13:00:00    ,                      1601.688,                        29.951,                         6.960,
14/08/2016 14:00:00    ,                      1601.245,                        29.948,                         6.964,
14/08/2016 15:00:00    ,                      1600.894,                        29.951,                         6.968,
14/08/2016 16:00:00    ,                      1600.632,                        29.950,                         6.970,
14/08/2016 17:00:00    ,                      1600.431,                        29.949,                         6.972,
14/08/2016 18:00:00    ,                      1600.423,                        29.950,                         6.972,
14/08/2016 19:00:00    ,                      1600.511,                        29.949,                         6.971,
14/08/2016 20:00:00    ,                      1600.608,                        29.951,                         6.970,
14/08/2016 21:00:00    ,                      1600.584,                        29.951,                         6.971,
14/08/2016 22:00:00    ,                      1600.640,                        29.951,                         6.970,
14/08/2016 23:00:00    ,                      1600.809,                        29.949,                         6.968,
15/08/2016 00:00:00    ,                      1600.854,                        29.950,                         6.968,
15/08/2016 01:00:00    ,                      1600.652,                        29.951,                         6.970,
15/08/2016 02:00:00    ,                      1600.580,                        29.948,                         6.971,
15/08/2016 03:00:00    ,                      1600.496,                        29.952,                         6.972,
15/08/2016 04:00:00    ,                      1600.270,                        29.949,                         6.974,
15/08/2016 05:00:00    ,                      1600.455,                        29.949,                         6.972,
15/08/2016 06:00:00    ,                      1600.471,                        29.950,                         6.972,
15/08/2016 07:00:00    ,                      1600.947,                        29.950,                         6.967,
15/08/2016 08:00:00    ,                      1601.124,                        29.950,                         6.965,
15/08/2016 09:00:00    ,                      1601.224,                        29.950,                         6.964,
15/08/2016 10:00:00    ,                      1601.184,                        29.954,                         6.965,
15/08/2016 11:00:00    ,                      1600.995,                        29.952,                         6.967,
15/08/2016 12:00:00    ,                      1600.294,                        29.951,                         6.974,
15/08/2016 13:00:00    ,                      1600.105,                        29.951,                         6.975,
15/08/2016 14:00:00    ,                      1599.746,                        29.953,                         6.979,
15/08/2016 15:00:00    ,                      1599.323,                        29.950,                         6.983,
15/08/2016 16:00:00    ,                      1599.078,                        29.950,                         6.986,
15/08/2016 17:00:00    ,                      1599.057,                        29.951,                         6.986,
15/08/2016 18:00:00    ,                      1599.150,                        29.951,                         6.985,
15/08/2016 19:00:00    ,                      1599.098,                        29.950,                         6.986,
15/08/2016 20:00:00    ,                      1599.360,                        29.951,                         6.983,
15/08/2016 21:00:00    ,                      1599.476,                        29.952,                         6.982,
15/08/2016 22:00:00    ,                      1599.565,                        29.952,                         6.981,
15/08/2016 23:00:00    ,                      1599.702,                        29.953,                         6.979,
16/08/2016 00:00:00    ,                      1599.553,                        29.953,                         6.981,
16/08/2016 01:00:00    ,                      1599.509,                        29.951,                         6.981,
16/08/2016 02:00:00    ,                      1599.400,                        29.951,                         6.982,
16/08/2016 03:00:00    ,                      1599.235,                        29.949,                         6.984,
16/08/2016 04:00:00    ,                      1599.186,                        29.951,                         6.985,
16/08/2016 05:00:00    ,                      1599.384,                        29.950,                         6.983,
